batch,cfg_distance_bins,cfg_exact_graft_init,cfg_hidden_dim,cfg_input_dim,cfg_jk_mode,cfg_line_radius,cfg_num_layers,cfg_plane_count,cfg_policy_hidden,cfg_q_hidden,cfg_ray_branch_scale,cfg_ray_channels,cfg_ray_update_hidden,cfg_scalar_count,cfg_use_extra_conditioning,cfg_use_layer_scale,cfg_value_bin_max,cfg_value_bin_min,cfg_value_bins,cfg_value_hidden,compiled,dtype,mode,model,seconds_per_step,size,states_per_second
16,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.002295513860008214,17,6970.116921856768
32,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.0031113053199078424,17,10285.072247730366
64,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.0062033104999864004,17,10317.0718280409
128,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.013878386959986529,17,9222.973849125492
16,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.0034070657400297934,25,4696.123063319607
32,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.0067363505999674085,25,4750.346574917704
64,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.015208466800104362,25,4208.182247507081
128,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.03151259217993356,25,4061.868324545743
16,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.005912573419918772,33,2706.097474595049
32,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.01257184326008428,33,2545.3705823393693
64,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.026992793140088907,33,2371.0032403037635
128,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.05534255721999216,33,2312.867464565963
16,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.013762475279945648,49,1162.5815614226622
32,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.029808804740023332,49,1073.5083234328622
64,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.062262622280104554,49,1027.9040242166384
128,8,,128,8,cat,5,4,8,128,64,,,,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,axis_gine_4x128,0.12522792164003477,49,1022.1362642105769
16,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.005897171260003233,17,2713.165226948357
32,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.008179245239880402,17,3912.341427785323
64,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.015311980199912796,17,4179.733722511246
128,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.030742889160028427,17,4163.564437086941
16,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.008099119140097174,25,1975.5234764712982
32,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.01547448129989789,25,2067.9206869577692
64,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.03204176233994076,25,1997.393255745568
128,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.0653100773000915,25,1959.8813122185766
16,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.013287954200059175,33,1204.0980695078515
32,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.027732091560028493,33,1153.8978201746252
64,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.05668545114007429,33,1129.0374992668026
128,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.1164717099200061,33,1098.979315130787
16,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.029084399499988648,49,550.1230994989684
32,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.06211839518000488,49,515.1453109384319
64,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.12742760503999306,49,502.24596138265053
128,8,True,128,8,cat,5,4,8,128,64,1.0,12,48,5,False,False,1.0,-1.0,65,32,True,bfloat16,infer,persistent_ray_4x128,0.24998813933998462,49,512.0242917841779
